Mosquitoes,Location_effect,Forest_ratio,Lag_rain,Lag_temp,Bi-month_rain,Bi-month_temp,NDVI,Population,Bi-month_rain_center,Bi-month_rain_power,Rice_ratio,Water_ratio
32,2,0.0859375,85.95494843,29.94664001,38.12761688,28.1444664,0.317254126,8.238382339,1.427616835,2.038089991,0.35546875,0
4,2,0.12109375,85.95494843,30.50697899,38.12761688,28.43562508,0.33840692,8.829214096,1.427616835,2.038089991,0.51171875,0
43,2,0.11328125,85.95494843,30.41523361,38.12761688,28.44251251,0.329911619,8.907863617,1.427616835,2.038089991,0.46484375,0
0,2,0.1484375,85.95494843,31.00960922,38.12761688,28.65313721,0.355178535,11.31149864,1.427616835,2.038089991,0.68359375,0
11,2,0.1015625,85.95494843,31.77979088,38.12761688,28.88656235,0.338546693,12.16423798,1.427616835,2.038089991,0.57421875,0
0,2,0.09375,85.95494843,31.50895882,38.12761688,28.8044796,0.342778504,12.2466507,1.427616835,2.038089991,0.59765625,0
0,2,0.046875,85.95494843,31.98208427,38.12761688,29.29954147,0.294223547,10.55180073,1.427616835,2.038089991,0.48046875,0
49,2,0.03125,85.95494843,32.8199234,38.12761688,29.61898422,0.315688521,9.707893372,1.427616835,2.038089991,0.34375,0
5,2,0.01171875,85.95494843,33.21140671,38.12761688,29.96899986,0.288461506,12.91898537,1.427616835,2.038089991,0.19140625,0
17,2,0.2109375,85.95494843,33.90593719,38.12761688,30.36829758,0.350766987,14.15337276,1.427616835,2.038089991,0.66015625,0
2,2,0,84.88499451,33.40206909,36.43988419,30.3908596,0.187580407,9.316394806,-0.260115802,0.067660235,0.7734375,0
1,2,0.00390625,79.27436829,32.84062576,34.25741959,29.73463631,0.174853325,15.90416813,-2.442580462,5.966198921,0.07421875,0.05078125
1,2,0.00390625,79.27436829,32.83382797,34.25741959,29.69921494,0.176742166,16.30257416,-2.442580462,5.966198921,0.09375,0.05859375
10,2,0.01171875,79.27436829,32.77199173,34.25741959,29.60461235,0.188635722,18.45509148,-2.442580462,5.966198921,0.19140625,0.10546875
3,2,0.01171875,79.27436829,32.76374817,34.25741959,29.60124969,0.191531897,18.98167992,-2.442580462,5.966198921,0.22265625,0.1171875
8,2,0,79.27436829,32.95152283,34.25741959,29.71686554,0.177461326,17.91693878,-2.442580462,5.966198921,0.08203125,0.0625
21,2,0.0078125,79.27436829,32.93187332,34.25741959,29.6639576,0.187009066,20.99209404,-2.442580462,5.966198921,0.15234375,0.1015625
8,2,0.015625,79.27436829,33.09999847,34.25741959,29.7266674,0.195167527,0,-2.442580462,5.966198921,0.203125,0.1328125
6,2,0.015625,79.27436829,33.09999847,34.25741959,29.7266674,0.197557807,0,-2.442580462,5.966198921,0.2265625,0.14453125
1,2,0.01171875,79.27436829,32.61191559,34.25741959,30.2738533,0.15371944,7.780892849,-2.442580462,5.966198921,0.60546875,0.203125
0,2,0.01953125,79.27436829,33.09999847,34.25741959,29.7266674,0.195536837,28.00073433,-2.442580462,5.966198921,0.1953125,0.12109375
126,2,0.05078125,85.95494843,34.05031204,38.12761688,30.66001511,0.310279191,11.93088818,1.427616835,2.038089991,0.19140625,0
1,2,0.03515625,79.27436829,33.08660126,34.25741959,29.74168777,0.202674806,37.68653107,-2.442580462,5.966198921,0.17578125,0.12890625
86,2,0.20703125,84.88499451,33.68906403,36.43988419,30.72484398,0.253637195,11.08083344,-0.260115802,0.067660235,0.2890625,0
16,2,0.01953125,84.88499451,34.13300705,36.43988419,31.50866508,0.219327539,11.8374157,-0.260115802,0.067660235,0.5390625,0.01953125
12,2,0.03125,84.88499451,34.54847717,36.43988419,31.46281815,0.212342784,11.6817646,-0.260115802,0.067660235,0.53515625,0.02734375
396,2,0.015625,84.88499451,34.15999985,36.43988419,31.78666687,0.211786151,11.94094181,-0.260115802,0.067660235,0.48828125,0.0078125
10,2,0.1796875,85.95494843,33.75547028,38.12761688,30.79732513,0.286984742,12.78515816,1.427616835,2.038089991,0.51171875,0.0234375
3,2,0.015625,84.88499451,34.81156158,36.43988419,31.56557274,0.194714323,12.0053606,-0.260115802,0.067660235,0.265625,0.03515625
5,2,0.01171875,79.27436829,34.59000015,34.25741959,30.68400002,0.147290975,15.86039734,-2.442580462,5.966198921,0.16796875,0
14,2,0.03125,84.88499451,35.55644608,36.43988419,31.41837883,0.191194072,11.18886566,-0.260115802,0.067660235,0.10546875,0
9,2,0.0703125,84.88499451,35.52878952,36.43988419,31.41708946,0.199441075,11.4759655,-0.260115802,0.067660235,0.15234375,0
54,2,0.03125,84.88499451,35.38917923,36.43988419,31.52680397,0.185258001,11.4710865,-0.260115802,0.067660235,0.0859375,0.01953125
0,2,0.03515625,84.88499451,35.56472778,36.43988419,31.4709568,0.192458823,11.25425529,-0.260115802,0.067660235,0.09765625,0
4,2,0.01171875,84.88499451,35.56394577,36.43988419,31.57306671,0.18476218,11.19279289,-0.260115802,0.067660235,0.0703125,0
0,2,0.0703125,82.0796814,35.02843857,35.34865189,31.4533596,0.192445755,13.86082363,-1.351348162,1.826141715,0.40625,0
0,2,0.078125,82.78100586,35.35093689,35.62145996,31.78121948,0.192625478,13.94288063,-1.078540087,1.163248658,0.1796875,0
3,2,0.09765625,85.22189331,34.50648499,36.99196625,31.89574242,0.238348439,11.85606956,0.291966259,0.085244291,0.55078125,0.12890625
1,2,0.0625,80.18309021,34.66675949,35.75036621,32.2096405,0.136829808,13.39705467,-0.949633777,0.901804328,0.78515625,0.01953125
3,2,0.078125,85.48392487,34.68937683,37.42136765,32.70811081,0.168910816,13.92362022,0.721367657,0.520371258,0.703125,0.140625
0,1,0.01953125,80.18309021,34.81703186,35.75036621,31.04103088,0.137864858,21.15789413,-0.949633777,0.901804328,0.15625,0.00390625
69,2,0.0859375,85.48392487,34.93999863,37.42136765,32.29999924,0.14777118,13.52192688,0.721367657,0.520371258,0.7734375,0
175,2,0.0078125,85.48392487,33.93125153,37.42136765,30.98374939,0.279419899,12.82025528,0.721367657,0.520371258,0.31640625,0
154,2,0.01171875,82.50221252,34.88874817,36.48143005,32.56479263,0.134763867,14.20111847,-0.218569949,0.047772821,0.0703125,0
13,2,0.0078125,82.17090607,34.88406372,36.37699127,32.58901215,0.134451061,14.19744301,-0.323008716,0.104334638,0.05078125,0
9,2,0.0078125,81.83959961,34.87968826,36.2725563,32.61161423,0.134155631,14.19376755,-0.427443683,0.182708114,0.03515625,0
6,2,0.0859375,80.18309021,34.34515762,35.75036621,31.34912491,0.126054943,14.47672081,-0.949633777,0.901804328,0.51953125,0.00390625
1,1,0.03125,80.18309021,34.70226669,35.75036621,30.84826469,0.136957899,20.0276165,-0.949633777,0.901804328,0.1484375,0.00390625
4,1,0.03125,80.18309021,34.65370941,35.75036621,30.76671028,0.137721956,20.24173355,-0.949633777,0.901804328,0.16796875,0
3,2,0,80.18309021,34.86156082,35.75036621,32.70526123,0.133855671,14.28520489,-0.949633777,0.901804328,0,0.00390625
23,1,0.03125,80.18309021,34.55660248,35.75036621,30.60360146,0.137761414,20.04516602,-0.949633777,0.901804328,0.171875,0
4,2,0.01953125,85.48392487,33.71880341,37.42136765,30.97315025,0.31559664,13.66119289,0.721367657,0.520371258,0.5,0.02734375
0,2,0.0234375,82.50221252,34.73500061,36.48143005,32.51458359,0.134644508,14.74080563,-0.218569949,0.047772821,0.19140625,0
1,2,0.01953125,82.17090607,34.73156357,36.37699127,32.53234482,0.134368584,14.75405216,-0.323008716,0.104334638,0.15625,0
0,2,0.03125,82.50221252,34.66187668,36.48143005,32.47010422,0.134785265,14.86426067,-0.218569949,0.047772821,0.22265625,0.00390625
0,1,0.0546875,80.18309021,34.25296783,35.75036621,30.42043686,0.132915169,18.12610245,-0.949633777,0.901804328,0.0703125,0
25,1,0.0546875,80.18309021,34.18375015,35.75036621,30.32400703,0.133419365,18.50969696,-0.949633777,0.901804328,0.09765625,0
5,2,0.12890625,85.48392487,34.5348053,37.42136765,32.25961685,0.142799973,13.78366661,0.721367657,0.520371258,0.671875,0.0078125
7,1,0.00390625,80.18309021,34.66292953,35.75036621,30.93685913,0.130906194,14.19811821,-0.949633777,0.901804328,0.03515625,0
14,1,0.00390625,80.18309021,34.65109253,35.75036621,30.93681335,0.130622238,14.1973238,-0.949633777,0.901804328,0.015625,0
3,1,0.1484375,80.18309021,33.72886658,35.75036621,29.89024162,0.136328384,18.84076691,-0.949633777,0.901804328,0.25,0.00390625
0,1,0.05859375,80.18309021,34.06851578,35.75036621,30.43745232,0.130944267,16.25468826,-0.949633777,0.901804328,0.078125,0.00390625
0,1,0.1484375,80.18309021,33.66484451,35.75036621,29.91809464,0.135643482,18.57723808,-0.949633777,0.901804328,0.23828125,0.00390625
1,2,0.1328125,85.48392487,34.22105408,37.42136765,32.21847153,0.143230796,13.62103558,0.721367657,0.520371258,0.6953125,0.00390625
6,1,0.06640625,80.18309021,34.05324173,35.75036621,30.48768806,0.131158993,15.36308956,-0.949633777,0.901804328,0.0859375,0
2,1,0.06640625,80.18309021,33.98589706,35.75036621,30.42085075,0.131168991,15.78313065,-0.949633777,0.901804328,0.09765625,0.00390625
7,1,0.078125,80.18309021,31.39037704,35.75036621,29.03051567,0.142095,11.28962135,-0.949633777,0.901804328,0.57421875,0.05078125
6,1,0.3046875,80.18309021,33.44187546,35.75036621,29.9497509,0.141028836,17.48434448,-0.949633777,0.901804328,0.296875,0.00390625
10,2,0.18359375,80.18309021,34.59484482,35.75036621,30.91831207,0.120920375,13.80306911,-0.949633777,0.901804328,0.5234375,0.00390625
0,1,0.3125,80.18309021,33.40874863,35.75036621,30.02949905,0.140448377,17.29062653,-0.949633777,0.901804328,0.26953125,0.00390625
0,1,0.328125,80.18309021,33.40874863,35.75036621,30.02949905,0.141441941,17.15187073,-0.949633777,0.901804328,0.25390625,0.00390625
4,1,0.00390625,77.74337006,33.00833511,36.33179092,29.42350006,0.151955426,125.1658325,-0.368209064,0.135577917,0.0234375,0.01171875
0,1,0.0234375,77.74337006,33.02434921,36.33179092,29.43006325,0.150226891,121.8048553,-0.368209064,0.135577917,0.03515625,0.0234375
6,1,0.1328125,80.18309021,33.49136734,35.75036621,30.35971069,0.133153409,14.63381195,-0.949633777,0.901804328,0.328125,0.00390625
3,1,0.0234375,77.74337006,33.12401199,36.33179092,29.52637482,0.152821288,122.1142349,-0.368209064,0.135577917,0.046875,0.01953125
3,1,0.0234375,77.74337006,33.14002609,36.33179092,29.532938,0.152513131,120.1638947,-0.368209064,0.135577917,0.05078125,0.01953125
5,1,0.0234375,77.74337006,33.16138077,36.33179092,29.54168701,0.152546853,118.4563904,-0.368209064,0.135577917,0.05859375,0.01953125
14,1,0.0234375,77.74337006,33.27882767,36.33179092,29.58981323,0.152015746,113.0819473,-0.368209064,0.135577917,0.06640625,0.01953125
2,1,0.0234375,77.74337006,33.33221436,36.33179092,29.61168671,0.152345508,111.1225357,-0.368209064,0.135577917,0.0625,0.01953125
2,1,0.0234375,77.74337006,33.39093781,36.33179092,29.63574982,0.152730346,109.1631165,-0.368209064,0.135577917,0.0625,0.01953125
2,1,0.07421875,77.74337006,33.2183342,36.33179092,29.62050056,0.159425244,126.4741135,-0.368209064,0.135577917,0.16015625,0.03125
1,1,0.01171875,77.74337006,34.07197952,36.33179092,29.98778152,0.15388748,98.59947205,-0.368209064,0.135577917,0.046875,0
2,1,0.01171875,77.74337006,34.26864624,36.33179092,30.11884308,0.156815886,91.55760193,-0.368209064,0.135577917,0.046875,0
0,1,0,77.74337006,34.31994629,36.33179092,30.14153099,0.156327158,92.50730896,-0.368209064,0.135577917,0.03515625,0
1,2,0.046875,80.18309021,34.81687546,35.75036621,30.91666603,0.122301862,14.47423744,-0.949633777,0.901804328,0.671875,0.015625
0,1,0.3203125,80.18309021,33.20999908,35.75036621,30.50799942,0.13917008,16.38495255,-0.949633777,0.901804328,0.2890625,0.00390625
0,1,0.0078125,74.3316803,33.58839798,33.90945053,29.81953812,0.121624649,111.1016006,-2.790549517,7.787166119,0.0859375,0.1953125
6,1,0.1171875,77.74337006,33.53333282,36.33179092,29.91600037,0.160447076,98.33813477,-0.368209064,0.135577917,0.203125,0.03125
0,1,0.33203125,80.18309021,33.20152283,35.75036621,30.502985,0.140046731,15.46767426,-0.949633777,0.901804328,0.29296875,0.00390625
294,2,0.00390625,85.48392487,35.42941284,37.42136765,33.49518204,0.236571208,72.81525421,0.721367657,0.520371258,0.03125,0
7,1,0.35546875,80.18309021,33.20999908,35.75036621,30.50799942,0.138995826,12.93439579,-0.949633777,0.901804328,0.49609375,0
53,1,0.31640625,80.18309021,33.19587326,35.75036621,30.49964142,0.140420735,15.16370964,-0.949633777,0.901804328,0.30078125,0.00390625
8,1,0.0390625,77.74337006,35.0765419,36.33179092,30.46198463,0.167744666,120.5246887,-0.368209064,0.135577917,0.08203125,0
5,2,0.0234375,85.48392487,34.58218765,37.42136765,32.63354111,0.282774359,43.25648499,0.721367657,0.520371258,0.15625,0.0078125
15,1,0.046875,77.74337006,35.00490189,36.33179092,30.46767235,0.171359092,93.26599884,-0.368209064,0.135577917,0.10546875,0
8,1,0.10546875,77.74337006,33.5386734,36.33179092,29.9181881,0.160108566,75.81507111,-0.368209064,0.135577917,0.21484375,0.02734375
14,1,0.10546875,77.74337006,33.5546875,36.33179092,29.92474937,0.159744978,77.04990387,-0.368209064,0.135577917,0.2265625,0.02734375
4,2,0.01171875,85.48392487,35.96667862,37.42136765,34.04158783,0.234084725,80.71948242,0.721367657,0.520371258,0,0
4,2,0.02734375,85.48392487,35.8358078,37.42136765,33.90848923,0.245136589,70.74635315,0.721367657,0.520371258,0,0
2,1,0.09375,77.74337006,31.65999985,36.33179092,29.20400047,0.16076678,15.96892452,-0.368209064,0.135577917,0.296875,0
2,1,0.0625,77.74337006,34.8199234,36.33179092,30.44318771,0.161029249,41.3469696,-0.368209064,0.135577917,0.12109375,0
2,2,0.00390625,85.48392487,36.07593918,37.42136765,34.1485939,0.225814074,85.65792847,0.721367657,0.520371258,0,0
20,2,0.02734375,85.48392487,33.26628876,37.42136765,32.24177551,0.126824245,13.66614151,0.721367657,0.520371258,0.87890625,0.09375
4,1,0.16796875,80.18309021,32.86424637,35.75036621,30.28818703,0.148634687,13.23395348,-0.949633777,0.901804328,0.171875,0.00390625
1,1,0.07421875,77.74337006,35.03499985,36.33179092,30.78949928,0.167594805,37.45679855,-0.368209064,0.135577917,0.09375,0
18,2,0.0078125,80.18309021,35.00437546,35.75036621,32.72791672,0.11360769,18.82495117,-0.949633777,0.901804328,0.4140625,0.00390625
0,1,0.0390625,78.50578308,32.13812637,36.15009308,29.71525002,0.149924755,13.74286652,-0.549906909,0.302397609,0.17578125,0
0,2,0,85.48392487,35.77960968,37.42136765,33.80744934,0.215139747,78.7060318,0.721367657,0.520371258,0.00390625,0
24,1,0.03515625,80.18309021,32.89677048,35.75036621,30.27187538,0.15120624,13.04205322,-0.949633777,0.901804328,0.18359375,0.00390625
2,1,0.05078125,78.04833984,32.33062363,36.2591095,29.91749954,0.151381716,12.46030617,-0.440890491,0.194384441,0.09375,0
18,2,0,85.48392487,35.70078278,37.42136765,33.70924377,0.219582587,68.88063049,0.721367657,0.520371258,0.03515625,0
24,1,0.09765625,80.18309021,33.03723907,35.75036621,30.33806229,0.150733292,12.1283617,-0.949633777,0.901804328,0.2265625,0
0,1,0.0625,78.04833984,32.42718887,36.2591095,30.01806259,0.15153873,12.12796593,-0.440890491,0.194384441,0.13671875,0
2,2,0.0078125,80.18309021,35.03187561,35.75036621,32.73958206,0.111740857,19.44657516,-0.949633777,0.901804328,0.42578125,0.015625
0,2,0.01953125,80.18309021,34.69187546,35.75036621,31.31256294,0.119459614,17.78467369,-0.949633777,0.901804328,0.0625,0
17,1,0.05859375,80.18309021,33.06791687,35.75036621,30.34774971,0.152791843,12.32930183,-0.949633777,0.901804328,0.35546875,0
2,1,0.125,77.74337006,32.64093781,36.33179092,30.19643784,0.159983724,11.3964262,-0.368209064,0.135577917,0.2890625,0
1,2,0.0078125,85.48392487,35.33496094,37.42136765,33.47104263,0.22710301,64.43612671,0.721367657,0.520371258,0.0234375,0
4,2,0.04296875,85.48392487,35.47468567,37.42136765,33.39593887,0.164240927,27.57614899,0.721367657,0.520371258,0.14453125,0
2,2,0.0546875,85.48392487,35.46296692,37.42136765,33.38057327,0.163277492,27.21449661,0.721367657,0.520371258,0.17578125,0
0,2,0.04296875,80.18309021,34.64749908,35.75036621,31.41275024,0.120591857,17.98287964,-0.949633777,0.901804328,0.171875,0
2,2,0,85.48392487,35.05347824,37.42136765,33.29049301,0.224544436,69.36943817,0.721367657,0.520371258,0.01171875,0
2,2,0.0078125,85.48392487,35.09495926,37.42136765,33.31375122,0.230942503,60.75006866,0.721367657,0.520371258,0.05078125,0
2,2,0.06640625,80.18309021,34.63395691,35.75036621,31.46081161,0.121185735,18.04885101,-0.949633777,0.901804328,0.19921875,0
0,2,0,85.48392487,34.95546722,37.42136765,33.22463608,0.226217836,66.37884521,0.721367657,0.520371258,0.01953125,0
3,2,0.12109375,85.48392487,35.30875015,37.42136765,33.17333221,0.150026321,22.81391907,0.721367657,0.520371258,0.50390625,0.01171875
10,2,0,85.48392487,34.72140503,37.42136765,33.06927109,0.229923546,64.55627441,0.721367657,0.520371258,0.015625,0
1,2,0,85.48392487,34.72187424,37.42136765,33.06791687,0.231886774,64.62310791,0.721367657,0.520371258,0.015625,0.015625
30,2,0.02734375,85.48392487,34.72000122,37.42136765,33.07333374,0.245989442,53.58872604,0.721367657,0.520371258,0.10546875,0
9,2,0.01171875,85.48392487,34.72140503,37.42136765,33.06927109,0.235823601,63.76253128,0.721367657,0.520371258,0.03125,0.01953125
3,2,0.01171875,85.48392487,34.72082138,37.42136765,33.07096481,0.238238215,63.3031044,0.721367657,0.520371258,0.03515625,0.00390625
0,2,0.03515625,85.48392487,34.72000122,37.42136765,33.07333374,0.249684632,53.10132599,0.721367657,0.520371258,0.12890625,0
2,2,0.03515625,85.48392487,34.72000122,37.42136765,33.07333374,0.253516793,48.01635742,0.721367657,0.520371258,0.234375,0
22,1,0.05078125,77.74337006,35.5745697,36.33179092,31.75666046,0.154147476,45.78015137,-0.368209064,0.135577917,0.34765625,0
12,2,0.16015625,85.48392487,34.62297058,37.42136765,32.61375046,0.118441395,61.90954208,0.721367657,0.520371258,0.38671875,0
0,1,0.05859375,77.74337006,35.51867294,36.33179092,31.7455864,0.152136832,59.77735519,-0.368209064,0.135577917,0.34375,0
2,2,0.0859375,85.48392487,34.72164154,37.42136765,33.06859207,0.261674345,50.1706543,0.721367657,0.520371258,0.2421875,0.0625
6,2,0.04296875,80.18309021,34.61614609,35.75036621,31.65914154,0.118615046,20.43575668,-0.949633777,0.901804328,0.1171875,0
8,2,0.078125,85.48392487,34.72000122,37.42136765,33.07333374,0.254753172,51.78072357,0.721367657,0.520371258,0.20703125,0.0078125
3,1,0.3984375,80.18309021,33.50523376,35.75036621,30.65443802,0.154871166,11.0886631,-0.949633777,0.901804328,0.39453125,0
2,1,0.23046875,77.74337006,35.18234253,36.33179092,31.47101593,0.175180018,68.23573303,-0.368209064,0.135577917,0.25390625,0.01171875
4,1,0.05859375,77.74337006,35.59113312,36.33179092,31.7599411,0.14651601,68.99609375,-0.368209064,0.135577917,0.28125,0
136,1,0.05859375,77.74337006,35.62218857,36.33179092,31.76609421,0.146974191,63.15888214,-0.368209064,0.135577917,0.296875,0
4,2,0.0703125,80.18309021,34.61804581,35.75036621,31.66365242,0.117418617,21.07552338,-0.949633777,0.901804328,0.0859375,0
159,1,0.0078125,77.74337006,35.97000122,36.33179092,31.83499908,0.149793789,29.40789795,-0.368209064,0.135577917,0.453125,0
268,1,0.0078125,77.74337006,35.97000122,36.33179092,31.83499908,0.150458336,30.14880371,-0.368209064,0.135577917,0.46484375,0.00390625
10,2,0.24609375,80.18309021,34.57364655,35.75036621,31.26169968,0.13662754,16.47021866,-0.949633777,0.901804328,0.578125,0.02734375
1,2,0.234375,80.18309021,34.56666565,35.75036621,31.13999939,0.137748495,14.62808228,-0.949633777,0.901804328,0.53125,0
27,1,0.15234375,80.18309021,33.52000046,35.75036621,30.55599976,0.156845555,10.92636681,-0.949633777,0.901804328,0.46875,0.00390625
137,1,0.01953125,77.74337006,35.97000122,36.33179092,31.83499908,0.152028859,40.65236282,-0.368209064,0.135577917,0.41015625,0.00390625
4,1,0.27734375,80.18309021,33.46374893,35.75036621,30.93099976,0.142385483,11.21080589,-0.949633777,0.901804328,0.1484375,0.015625
22,1,0.44921875,80.18309021,33.50148392,35.75036621,30.67943764,0.15269199,11.05631638,-0.949633777,0.901804328,0.41796875,0.00390625
5,1,0.140625,80.18309021,33.52000046,35.75036621,30.55599976,0.156407654,10.9106636,-0.949633777,0.901804328,0.4453125,0.00390625
